Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
246.4,131.97,22.93,um,Surface,Position,3,1000000017,94
189.29,48.75,31.66,um,Surface,Position,3,1000000018,97
22.32,210.35,28.02,um,Surface,Position,3,1000000019,96
267.9,131.98,28.33,um,Surface,Position,3,1000000020,98
8.8,178.2,24.92,um,Surface,Position,3,1000000021,95
355.98,243.46,42.61,um,Surface,Position,3,1000000022,101
4.7,45,31.44,um,Surface,Position,3,1000000023,99
118.35,379.68,43.02,um,Surface,Position,3,1000000024,103
316.55,174.35,34.51,um,Surface,Position,3,1000000025,102
64.24,183.96,44.29,um,Surface,Position,3,1000000026,104
245.61,313.08,48.96,um,Surface,Position,3,1000000027,106
212.32,338.77,40.42,um,Surface,Position,3,1000000028,105
242.44,350.11,46.98,um,Surface,Position,3,1000000029,107
200.36,301.44,58.27,um,Surface,Position,3,1000000030,109
9.35,170.08,50.85,um,Surface,Position,3,1000000031,108
141.57,94.16,58.11,um,Surface,Position,3,1000000032,110
351.48,47.65,60.37,um,Surface,Position,3,1000000034,112
164.44,201.68,61.1,um,Surface,Position,3,1000000035,113
140.47,210.96,58.38,um,Surface,Position,3,1000000036,111
293.7,309.48,13.62,um,Surface,Position,3,1000000037,91
92.72,380.4,13.29,um,Surface,Position,3,1000000038,88
386.16,217.41,34.08,um,Surface,Position,3,1000000039,100
112.26,5.15,7.17,um,Surface,Position,4,1000000000,114
288.18,64.54,8.14,um,Surface,Position,4,1000000001,116
339.96,125.81,10,um,Surface,Position,4,1000000002,117
182.02,136.83,7.45,um,Surface,Position,4,1000000003,118
261.85,215.84,12.65,um,Surface,Position,4,1000000004,119
327.12,247.9,12.46,um,Surface,Position,4,1000000005,120
77.02,266.42,7.22,um,Surface,Position,4,1000000006,121
94.92,298.25,15.18,um,Surface,Position,4,1000000007,122
266.91,311.94,5.18,um,Surface,Position,4,1000000008,123
319.1,330.1,9.41,um,Surface,Position,4,1000000009,124
84.34,323.57,5.5,um,Surface,Position,4,1000000010,125
161.51,330.55,4.65,um,Surface,Position,4,1000000011,126
374.65,355.51,5.83,um,Surface,Position,4,1000000012,127
257.32,379.06,19.15,um,Surface,Position,4,1000000013,129
243.29,12.92,15.33,um,Surface,Position,4,1000000014,115
76.97,136.66,17.35,um,Surface,Position,4,1000000015,131
314.55,93.46,26.4,um,Surface,Position,4,1000000016,132
247.59,131.06,23.33,um,Surface,Position,4,1000000017,133
189.58,46.4,33.31,um,Surface,Position,4,1000000018,137
21.09,209.83,28.03,um,Surface,Position,4,1000000019,135
268.42,131.28,29,um,Surface,Position,4,1000000020,138
9.24,178.27,22.1,um,Surface,Position,4,1000000021,134
355.52,242.41,43,um,Surface,Position,4,1000000022,140
4.68,42.22,30.09,um,Surface,Position,4,1000000023,136
118.84,378.35,43.6,um,Surface,Position,4,1000000024,142
317.52,174.29,34.35,um,Surface,Position,4,1000000025,141
64.08,183.78,43.91,um,Surface,Position,4,1000000026,145
242.64,313.75,48.21,um,Surface,Position,4,1000000027,146
210.79,338.62,40.06,um,Surface,Position,4,1000000028,144
242.84,350.57,46.94,um,Surface,Position,4,1000000029,147
200.46,300.19,58.56,um,Surface,Position,4,1000000030,150
10.11,166.48,50.31,um,Surface,Position,4,1000000031,148
138.97,91.52,56.68,um,Surface,Position,4,1000000032,149
282.95,209.47,62.89,um,Surface,Position,4,1000000033,154
350.04,48.71,59.84,um,Surface,Position,4,1000000034,152
166.94,200.21,60.95,um,Surface,Position,4,1000000035,153
140.27,210.75,57.61,um,Surface,Position,4,1000000036,151
292.74,311.2,15.13,um,Surface,Position,4,1000000037,130
89.48,380.77,14.08,um,Surface,Position,4,1000000038,128
385.3,219.15,33.33,um,Surface,Position,4,1000000039,139
177.46,386.07,35.07,um,Surface,Position,4,1000000040,143
115.26,5.09,7.05,um,Surface,Position,5,1000000000,155
289.25,65.4,7.35,um,Surface,Position,5,1000000001,157
341.45,123.87,10.12,um,Surface,Position,5,1000000002,159
184.11,137.72,8.76,um,Surface,Position,5,1000000003,160
261.45,216.17,12.74,um,Surface,Position,5,1000000004,161
327.9,249.2,12.49,um,Surface,Position,5,1000000005,162
77.24,266.46,7.14,um,Surface,Position,5,1000000006,163
95.42,297.58,14.46,um,Surface,Position,5,1000000007,164
269.74,309.56,4.25,um,Surface,Position,5,1000000008,165
320.86,325.53,10.21,um,Surface,Position,5,1000000009,166
82.28,324.68,5.26,um,Surface,Position,5,1000000010,167
163.7,331.45,5.03,um,Surface,Position,5,1000000011,168
373.95,356.42,5.72,um,Surface,Position,5,1000000012,169
257.11,378.73,19.74,um,Surface,Position,5,1000000013,171
241.63,13.76,14.47,um,Surface,Position,5,1000000014,156
76.45,141.37,17.61,um,Surface,Position,5,1000000015,173
314.2,93.25,27.56,um,Surface,Position,5,1000000016,175
248.4,130.8,23.91,um,Surface,Position,5,1000000017,176
191.03,46.53,33.9,um,Surface,Position,5,1000000018,179
20.64,209.03,27.65,um,Surface,Position,5,1000000019,177
268.5,131.67,29.88,um,Surface,Position,5,1000000020,180
11.8,177.45,20.8,um,Surface,Position,5,1000000021,174
355.81,242.47,44.31,um,Surface,Position,5,1000000022,183
5.75,39.14,28.51,um,Surface,Position,5,1000000023,178
118.52,377.61,43.89,um,Surface,Position,5,1000000024,184
320.34,175.08,34.26,um,Surface,Position,5,1000000025,182
63.86,183.39,43.08,um,Surface,Position,5,1000000026,186
243.47,313.56,46.45,um,Surface,Position,5,1000000027,188
210.24,336.26,40.64,um,Surface,Position,5,1000000028,187
242.31,351.3,46.94,um,Surface,Position,5,1000000029,189
196.77,302.11,59.92,um,Surface,Position,5,1000000030,193
11.28,162.39,50.7,um,Surface,Position,5,1000000031,190
136.43,91.02,56.54,um,Surface,Position,5,1000000032,191
283.79,209.34,62.18,um,Surface,Position,5,1000000033,196
346.99,51.72,59.23,um,Surface,Position,5,1000000034,194
169.91,197.03,60.62,um,Surface,Position,5,1000000035,195
140,206.5,56.77,um,Surface,Position,5,1000000036,192
292.64,312.32,15.82,um,Surface,Position,5,1000000037,172
86.9,380.65,15.19,um,Surface,Position,5,1000000038,170
385.45,222.27,32.03,um,Surface,Position,5,1000000039,181
177.27,383.99,36.07,um,Surface,Position,5,1000000040,185
133.41,108.5,3.29,um,Surface,Position,5,1000000041,158
115.73,3.65,7.54,um,Surface,Position,6,1000000000,197
290.82,65.43,7.25,um,Surface,Position,6,1000000001,199
342.31,122.13,9.42,um,Surface,Position,6,1000000002,201
185.3,137.29,9.97,um,Surface,Position,6,1000000003,202
260.98,215.65,12.25,um,Surface,Position,6,1000000004,203
327.54,250.37,13.67,um,Surface,Position,6,1000000005,204
77.59,267.7,7,um,Surface,Position,6,1000000006,205
95.76,296.33,13.78,um,Surface,Position,6,1000000007,206
269.97,309.84,4.99,um,Surface,Position,6,1000000008,207
318.32,331.18,8.97,um,Surface,Position,6,1000000009,209
80.55,325.35,4.88,um,Surface,Position,6,1000000010,208
165.64,333.22,6.14,um,Surface,Position,6,1000000011,210
372.4,357.66,5.74,um,Surface,Position,6,1000000012,211
259.07,378.95,21,um,Surface,Position,6,1000000013,213
240.19,13.57,14.04,um,Surface,Position,6,1000000014,198
75.59,142.69,18.41,um,Surface,Position,6,1000000015,214
313.15,93.54,28.66,um,Surface,Position,6,1000000016,217
247.69,130.97,25.03,um,Surface,Position,6,1000000017,218
191.87,47.57,35.9,um,Surface,Position,6,1000000018,226
21,208.63,28.15,um,Surface,Position,6,1000000019,219
268.18,131.74,29.76,um,Surface,Position,6,1000000020,222
16.52,175.6,19.84,um,Surface,Position,6,1000000021,216
356.16,242.6,45.35,um,Surface,Position,6,1000000022,227
7.38,38.71,29.27,um,Surface,Position,6,1000000023,221
118.3,377.23,44.27,um,Surface,Position,6,1000000024,228
321.99,174.59,33.41,um,Surface,Position,6,1000000025,223
66.92,181.45,39.75,um,Surface,Position,6,1000000026,224
244.51,313.45,45.68,um,Surface,Position,6,1000000027,231
208.82,335.56,41.61,um,Surface,Position,6,1000000028,230
241.86,352.56,46.27,um,Surface,Position,6,1000000029,232
194.45,302.63,59.11,um,Surface,Position,6,1000000030,238
12.75,157.3,50.19,um,Surface,Position,6,1000000031,233
131.93,88.42,55.66,um,Surface,Position,6,1000000032,234
284.67,210.21,60.95,um,Surface,Position,6,1000000033,239
344.66,53.48,59.36,um,Surface,Position,6,1000000034,237
168.78,191.7,59.87,um,Surface,Position,6,1000000035,9937
139.62,203.49,57.82,um,Surface,Position,6,1000000036,236
293.47,313.09,15.65,um,Surface,Position,6,1000000037,215
85.52,380.89,15.69,um,Surface,Position,6,1000000038,212
385.25,223.66,31.31,um,Surface,Position,6,1000000039,225
177.85,382.97,37.25,um,Surface,Position,6,1000000040,229
133.22,108.19,3.36,um,Surface,Position,6,1000000041,200
143.48,219.77,23.84,um,Surface,Position,6,1000000042,220
258.07,294.96,54.22,um,Surface,Position,6,1000000043,235
