Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
276.67,278.9,4.37,um,Surface,Position,3,1000000006,95
66.55,282.7,7.4,um,Surface,Position,3,1000000007,94
283.74,344.45,3.15,um,Surface,Position,3,1000000008,96
36.05,384.49,3.64,um,Surface,Position,3,1000000009,97
54.51,172.74,13.34,um,Surface,Position,3,1000000010,99
126.21,22.07,8.29,um,Surface,Position,3,1000000011,87
55.3,36.14,13.66,um,Surface,Position,3,1000000012,98
252.57,74.62,15.19,um,Surface,Position,3,1000000013,102
324.83,96.76,16.11,um,Surface,Position,3,1000000014,89
171.43,65.4,16.98,um,Surface,Position,3,1000000015,100
145.29,89.19,20.22,um,Surface,Position,3,1000000016,103
113.44,183.24,12.74,um,Surface,Position,3,1000000017,101
339.19,197.07,20.1,um,Surface,Position,3,1000000018,105
138.85,351.92,20.12,um,Surface,Position,3,1000000019,104
360.75,80.28,26.96,um,Surface,Position,3,1000000020,109
290.96,363.02,19.98,um,Surface,Position,3,1000000021,106
104.74,83.6,25.49,um,Surface,Position,3,1000000022,110
226.44,229.09,26.88,um,Surface,Position,3,1000000023,108
251.98,242.1,24.12,um,Surface,Position,3,1000000024,112
216.59,359.29,27.98,um,Surface,Position,3,1000000025,113
245.01,145.23,33.26,um,Surface,Position,3,1000000026,114
89.74,334.33,21.75,um,Surface,Position,3,1000000027,107
363.48,222.14,26.59,um,Surface,Position,3,1000000028,111
94.37,9.25,34.32,um,Surface,Position,3,1000000029,117
3.78,258.54,35.82,um,Surface,Position,3,1000000030,118
227.18,279.16,32.7,um,Surface,Position,3,1000000031,116
312.26,198.24,43.65,um,Surface,Position,3,1000000032,119
21.03,228.52,39.88,um,Surface,Position,3,1000000033,120
135.43,269.13,44.63,um,Surface,Position,3,1000000034,121
164.83,189.08,44.81,um,Surface,Position,3,1000000035,122
379.55,78.11,48.95,um,Surface,Position,3,1000000036,125
265.26,92.34,46.99,um,Surface,Position,3,1000000037,126
121.95,51.65,49.68,um,Surface,Position,3,1000000038,124
175.04,232.7,53.51,um,Surface,Position,3,1000000039,127
100.15,185.73,58.35,um,Surface,Position,3,1000000040,129
30.09,190.52,56.28,um,Surface,Position,3,1000000041,128
59.92,319.27,56.95,um,Surface,Position,3,1000000042,130
315.01,271.44,43.26,um,Surface,Position,3,1000000043,123
102.26,206.04,2.99,um,Surface,Position,3,1000000044,91
236.4,119.97,26.53,um,Surface,Position,3,1000000045,115
365.18,10.94,11.77,um,Surface,Position,4,1000000000,131
249.63,22.96,10.06,um,Surface,Position,4,1000000001,132
83.06,88.12,3.92,um,Surface,Position,4,1000000002,134
373.22,121.81,9.59,um,Surface,Position,4,1000000003,136
363.55,257.99,6.57,um,Surface,Position,4,1000000004,138
14.56,270.58,6.4,um,Surface,Position,4,1000000005,140
275.15,279.29,4.34,um,Surface,Position,4,1000000006,141
66.66,281.05,7.57,um,Surface,Position,4,1000000007,139
285.49,343.79,3.56,um,Surface,Position,4,1000000008,142
36.85,383.62,5.23,um,Surface,Position,4,1000000009,143
49.62,167.83,16.12,um,Surface,Position,4,1000000010,146
124.17,21.33,8.64,um,Surface,Position,4,1000000011,133
54.37,34.62,13.98,um,Surface,Position,4,1000000012,144
251.72,75.01,14.98,um,Surface,Position,4,1000000013,149
325.03,97.98,15.75,um,Surface,Position,4,1000000014,135
172.16,65.24,16.9,um,Surface,Position,4,1000000015,145
143.52,91.76,20.46,um,Surface,Position,4,1000000016,150
114.71,179.61,14.19,um,Surface,Position,4,1000000017,147
339.81,194.4,18.5,um,Surface,Position,4,1000000018,152
138.44,352.59,20.37,um,Surface,Position,4,1000000019,153
362.01,81.22,25.37,um,Surface,Position,4,1000000020,155
296.45,364.03,18.52,um,Surface,Position,4,1000000021,148
104.54,83.52,25.35,um,Surface,Position,4,1000000022,157
219.69,225.45,22.2,um,Surface,Position,4,1000000023,151
252.66,245.67,24.13,um,Surface,Position,4,1000000024,158
219.83,358.92,28.79,um,Surface,Position,4,1000000025,160
246.44,146.76,32.2,um,Surface,Position,4,1000000026,159
89.09,335.08,21.75,um,Surface,Position,4,1000000027,154
364.06,222.13,24.85,um,Surface,Position,4,1000000028,156
93.53,9.79,33.89,um,Surface,Position,4,1000000029,162
3.63,257.31,36.55,um,Surface,Position,4,1000000030,164
224.86,277.21,32.34,um,Surface,Position,4,1000000031,161
311.46,197.14,43.7,um,Surface,Position,4,1000000032,165
20.04,226.87,39.26,um,Surface,Position,4,1000000033,163
135.36,268.67,43.34,um,Surface,Position,4,1000000034,167
164.12,190.11,43.43,um,Surface,Position,4,1000000035,166
382.55,77.35,48.03,um,Surface,Position,4,1000000036,171
259.45,92.66,46.5,um,Surface,Position,4,1000000037,169
122.51,53.24,48.26,um,Surface,Position,4,1000000038,170
174.51,231.43,53.98,um,Surface,Position,4,1000000039,172
100.87,185.99,58.96,um,Surface,Position,4,1000000040,174
29.24,190.24,56.27,um,Surface,Position,4,1000000041,173
62.14,317.04,57.57,um,Surface,Position,4,1000000042,175
313.08,272.36,43.06,um,Surface,Position,4,1000000043,168
101.79,212.15,3.83,um,Surface,Position,4,1000000044,137
234.28,118.25,26.41,um,Surface,Position,4,1000000045,13064
364.07,11.4,12.58,um,Surface,Position,5,1000000000,176
252,22.95,10.87,um,Surface,Position,5,1000000001,177
82.87,87.93,5.06,um,Surface,Position,5,1000000002,179
372.22,122.11,10.24,um,Surface,Position,5,1000000003,180
362.98,258.13,6.93,um,Surface,Position,5,1000000004,182
13.28,269.56,6.4,um,Surface,Position,5,1000000005,183
274.75,278.75,4.22,um,Surface,Position,5,1000000006,185
66.49,280.68,8.24,um,Surface,Position,5,1000000007,184
286.02,343.56,3.36,um,Surface,Position,5,1000000008,186
37.71,382.03,4.85,um,Surface,Position,5,1000000009,187
46.55,159.64,21.98,um,Surface,Position,5,1000000010,195
122.19,23.07,7.68,um,Surface,Position,5,1000000011,178
60.3,37.1,11.94,um,Surface,Position,5,1000000012,189
251.38,74.88,15.3,um,Surface,Position,5,1000000013,194
324.83,100.04,13.6,um,Surface,Position,5,1000000014,188
173.28,64.96,16.91,um,Surface,Position,5,1000000015,190
143.43,97.15,19.46,um,Surface,Position,5,1000000016,192
114.6,178.23,12.98,um,Surface,Position,5,1000000017,193
338.6,193.51,18.78,um,Surface,Position,5,1000000018,198
136.81,351.91,20.01,um,Surface,Position,5,1000000019,197
362.91,81.52,23.52,um,Surface,Position,5,1000000020,199
297.86,366.76,18.44,um,Surface,Position,5,1000000021,191
104.43,83.63,25.01,um,Surface,Position,5,1000000022,202
217.78,223.5,21.84,um,Surface,Position,5,1000000023,196
248.18,252.38,22.97,um,Surface,Position,5,1000000024,13060
221.65,358.52,28.29,um,Surface,Position,5,1000000025,204
250.24,154.95,30.62,um,Surface,Position,5,1000000026,206
89.59,334.84,22.83,um,Surface,Position,5,1000000027,201
363.19,222.85,23.46,um,Surface,Position,5,1000000028,200
91.11,8.18,32.32,um,Surface,Position,5,1000000029,208
3.83,257.13,37.67,um,Surface,Position,5,1000000030,212
220.95,274.76,30.1,um,Surface,Position,5,1000000031,207
311.6,195.61,43.04,um,Surface,Position,5,1000000032,210
17.99,226.4,39.27,um,Surface,Position,5,1000000033,211
134.43,266,43.34,um,Surface,Position,5,1000000034,215
164.38,191.1,42.91,um,Surface,Position,5,1000000035,214
383.6,76.91,48.02,um,Surface,Position,5,1000000036,216
258.24,92.82,47.08,um,Surface,Position,5,1000000037,219
123.53,53.38,48.71,um,Surface,Position,5,1000000038,218
