Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
235.5,63,8.73,um,Surface,Position,1,1000000000,0
264.68,122.99,4.99,um,Surface,Position,1,1000000001,1
119.47,129.7,5.33,um,Surface,Position,1,1000000002,2
359.02,141.78,4.56,um,Surface,Position,1,1000000003,3
102.61,143.2,7.61,um,Surface,Position,1,1000000004,4
84.22,227.93,14.5,um,Surface,Position,1,1000000005,5
223.67,240.6,7.61,um,Surface,Position,1,1000000006,6
146.18,253.07,12.85,um,Surface,Position,1,1000000007,7
262.77,256.2,5.6,um,Surface,Position,1,1000000008,8
206.5,301.69,8.24,um,Surface,Position,1,1000000009,9
17.42,321.68,9.11,um,Surface,Position,1,1000000010,10
169.29,334,10.23,um,Surface,Position,1,1000000011,11
371.43,348.35,5.65,um,Surface,Position,1,1000000012,12
135.49,216.83,10.76,um,Surface,Position,1,1000000013,13
193.72,225.71,12.07,um,Surface,Position,1,1000000014,14
357.29,251.48,10.42,um,Surface,Position,1,1000000015,15
377.97,284.51,13.63,um,Surface,Position,1,1000000016,16
149.28,55.95,19.08,um,Surface,Position,1,1000000017,17
318.57,297.27,20.96,um,Surface,Position,1,1000000018,18
346.54,84.26,20.26,um,Surface,Position,1,1000000019,19
70.72,233.59,18.96,um,Surface,Position,1,1000000020,20
195.87,260.99,23.38,um,Surface,Position,1,1000000021,21
343.57,29.24,25.23,um,Surface,Position,1,1000000022,22
196.86,142.03,22.5,um,Surface,Position,1,1000000023,23
289.05,382.19,33.36,um,Surface,Position,1,1000000024,24
73.84,127.93,32.91,um,Surface,Position,1,1000000025,25
87.3,249.76,32.29,um,Surface,Position,1,1000000026,26
328.48,251.98,27.02,um,Surface,Position,1,1000000027,27
95.35,348.34,30.32,um,Surface,Position,1,1000000028,28
212.07,312.14,38.06,um,Surface,Position,1,1000000029,29
148.16,321.35,38.8,um,Surface,Position,1,1000000030,30
318.81,67.34,33.44,um,Surface,Position,1,1000000031,31
209.24,123.55,40.69,um,Surface,Position,1,1000000032,32
40.82,256.1,42.92,um,Surface,Position,1,1000000033,33
330.11,20.64,44.05,um,Surface,Position,1,1000000034,34
214.26,166.59,41.7,um,Surface,Position,1,1000000035,35
341.51,218.17,39.4,um,Surface,Position,1,1000000036,36
307.51,131.25,44.68,um,Surface,Position,1,1000000037,37
32.91,83.98,50.09,um,Surface,Position,1,1000000038,38
221.01,374.24,52.65,um,Surface,Position,1,1000000039,39
303.35,45.21,53.18,um,Surface,Position,1,1000000040,40
352.04,208.09,57.65,um,Surface,Position,1,1000000041,41
305.5,145.92,60.83,um,Surface,Position,1,1000000042,42
235.06,62.9,8.56,um,Surface,Position,2,1000000000,43
264.48,122.28,6.06,um,Surface,Position,2,1000000001,44
119.26,129.9,5.45,um,Surface,Position,2,1000000002,45
358.82,140.76,4.05,um,Surface,Position,2,1000000003,47
104.92,139.18,7.69,um,Surface,Position,2,1000000004,46
85.15,228.29,13.37,um,Surface,Position,2,1000000005,49
230.33,235.67,9.67,um,Surface,Position,2,1000000006,51
